Custom Label,Gender Apparel,Colour Name,Smallize,Picture Name,Position,Customise,BTC Product Code,BTC SKU,BTC Stock ID
M278-P5-4475,Fruit Of The Loom - Mens Valueweight Athletic Vest,Black,Small,Fruit-Of-The-Loom-Mens-Valueweight-Athletic-Vest-Black,"Front Center, Back Center",Yes,61098,4475,4475
M278-P5-4476,Fruit Of The Loom - Mens Valueweight Athletic Vest,Black,Medium,Fruit-Of-The-Loom-Mens-Valueweight-Athletic-Vest-Black,"Front Center, Back Center",Yes,61098,4476,4476
M278-P5-4477,Fruit Of The Loom - Mens Valueweight Athletic Vest,Black,Large,Fruit-Of-The-Loom-Mens-Valueweight-Athletic-Vest-Black,"Front Center, Back Center",Yes,61098,4477,4477
M278-P5-4478,Fruit Of The Loom - Mens Valueweight Athletic Vest,Black,XL,Fruit-Of-The-Loom-Mens-Valueweight-Athletic-Vest-Black,"Front Center, Back Center",Yes,61098,4478,4478
M278-P5-4479,Fruit Of The Loom - Mens Valueweight Athletic Vest,Black,2XL,Fruit-Of-The-Loom-Mens-Valueweight-Athletic-Vest-Black,"Front Center, Back Center",Yes,61098,4479,4479
M278-P5-158250,Fruit Of The Loom - Mens Valueweight Athletic Vest,Black,3XL,Fruit-Of-The-Loom-Mens-Valueweight-Athletic-Vest-Black,"Front Center, Back Center",Yes,61098,158250,158250
M278-P5-158251,Fruit Of The Loom - Mens Valueweight Athletic Vest,Black,4XL,Fruit-Of-The-Loom-Mens-Valueweight-Athletic-Vest-Black,"Front Center, Back Center",Yes,61098,158251,158251
M278-P5-158252,Fruit Of The Loom - Mens Valueweight Athletic Vest,Black,5XL,Fruit-Of-The-Loom-Mens-Valueweight-Athletic-Vest-Black,"Front Center, Back Center",Yes,61098,158252,158252
M278-P5-55459,Fruit Of The Loom - Mens Valueweight Athletic Vest,Deep Navy,Small,Fruit-Of-The-Loom-Mens-Valueweight-Athletic-Vest-Deep-Navy,"Front Center, Back Center",Yes,61098,55459,55459
M278-P5-55460,Fruit Of The Loom - Mens Valueweight Athletic Vest,Deep Navy,Medium,Fruit-Of-The-Loom-Mens-Valueweight-Athletic-Vest-Deep-Navy,"Front Center, Back Center",Yes,61098,55460,55460
M278-P5-55461,Fruit Of The Loom - Mens Valueweight Athletic Vest,Deep Navy,Large,Fruit-Of-The-Loom-Mens-Valueweight-Athletic-Vest-Deep-Navy,"Front Center, Back Center",Yes,61098,55461,55461
M278-P5-55462,Fruit Of The Loom - Mens Valueweight Athletic Vest,Deep Navy,XL,Fruit-Of-The-Loom-Mens-Valueweight-Athletic-Vest-Deep-Navy,"Front Center, Back Center",Yes,61098,55462,55462
M278-P5-55463,Fruit Of The Loom - Mens Valueweight Athletic Vest,Deep Navy,2XL,Fruit-Of-The-Loom-Mens-Valueweight-Athletic-Vest-Deep-Navy,"Front Center, Back Center",Yes,61098,55463,55463
M278-P5-158262,Fruit Of The Loom - Mens Valueweight Athletic Vest,Deep Navy,3XL,Fruit-Of-The-Loom-Mens-Valueweight-Athletic-Vest-Deep-Navy,"Front Center, Back Center",Yes,61098,158262,158262
M278-P5-4470,Fruit Of The Loom - Mens Valueweight Athletic Vest,Heather Grey,Small,Fruit-Of-The-Loom-Mens-Valueweight-Athletic-Vest-Heather-Grey,"Front Center, Back Center",Yes,61098,4470,4470
M278-P5-4471,Fruit Of The Loom - Mens Valueweight Athletic Vest,Heather Grey,Medium,Fruit-Of-The-Loom-Mens-Valueweight-Athletic-Vest-Heather-Grey,"Front Center, Back Center",Yes,61098,4471,4471
M278-P5-4472,Fruit Of The Loom - Mens Valueweight Athletic Vest,Heather Grey,Large,Fruit-Of-The-Loom-Mens-Valueweight-Athletic-Vest-Heather-Grey,"Front Center, Back Center",Yes,61098,4472,4472
M278-P5-4473,Fruit Of The Loom - Mens Valueweight Athletic Vest,Heather Grey,XL,Fruit-Of-The-Loom-Mens-Valueweight-Athletic-Vest-Heather-Grey,"Front Center, Back Center",Yes,61098,4473,4473
M278-P5-4474,Fruit Of The Loom - Mens Valueweight Athletic Vest,Heather Grey,2XL,Fruit-Of-The-Loom-Mens-Valueweight-Athletic-Vest-Heather-Grey,"Front Center, Back Center",Yes,61098,4474,4474
M278-P5-158259,Fruit Of The Loom - Mens Valueweight Athletic Vest,Heather Grey,3XL,Fruit-Of-The-Loom-Mens-Valueweight-Athletic-Vest-Heather-Grey,"Front Center, Back Center",Yes,61098,158259,158259
M278-P5-158260,Fruit Of The Loom - Mens Valueweight Athletic Vest,Heather Grey,4XL,Fruit-Of-The-Loom-Mens-Valueweight-Athletic-Vest-Heather-Grey,"Front Center, Back Center",Yes,61098,158260,158260
M278-P5-158261,Fruit Of The Loom - Mens Valueweight Athletic Vest,Heather Grey,5XL,Fruit-Of-The-Loom-Mens-Valueweight-Athletic-Vest-Heather-Grey,"Front Center, Back Center",Yes,61098,158261,158261
M278-P5-4480,Fruit Of The Loom - Mens Valueweight Athletic Vest,Red,Small,Fruit-Of-The-Loom-Mens-Valueweight-Athletic-Vest-Red,"Front Center, Back Center",Yes,61098,4480,4480
M278-P5-4481,Fruit Of The Loom - Mens Valueweight Athletic Vest,Red,Medium,Fruit-Of-The-Loom-Mens-Valueweight-Athletic-Vest-Red,"Front Center, Back Center",Yes,61098,4481,4481
M278-P5-4482,Fruit Of The Loom - Mens Valueweight Athletic Vest,Red,Large,Fruit-Of-The-Loom-Mens-Valueweight-Athletic-Vest-Red,"Front Center, Back Center",Yes,61098,4482,4482
M278-P5-4483,Fruit Of The Loom - Mens Valueweight Athletic Vest,Red,XL,Fruit-Of-The-Loom-Mens-Valueweight-Athletic-Vest-Red,"Front Center, Back Center",Yes,61098,4483,4483
M278-P5-4484,Fruit Of The Loom - Mens Valueweight Athletic Vest,Red,2XL,Fruit-Of-The-Loom-Mens-Valueweight-Athletic-Vest-Red,"Front Center, Back Center",Yes,61098,4484,4484
