Custom Label,Gender Apparel,Colour Name,Size,Picture Name,Position,Customise,BTC Product Code,BTC SKU,BTC Stock ID
M38-77094,Gildan - Softstyle Ladies Tank Top,Azalea,S,Gildan-Softstyle-Ladies-Tank-Top-Azalea,Front Center,Yes,64200L,77094,77094
M38-77095,Gildan - Softstyle Ladies Tank Top,Azalea,M,Gildan-Softstyle-Ladies-Tank-Top-Azalea,Front Center,Yes,64200L,77095,77095
M38-77096,Gildan - Softstyle Ladies Tank Top,Azalea,L,Gildan-Softstyle-Ladies-Tank-Top-Azalea,Front Center,Yes,64200L,77096,77096
M38-77097,Gildan - Softstyle Ladies Tank Top,Azalea,XL,Gildan-Softstyle-Ladies-Tank-Top-Azalea,Front Center,Yes,64200L,77097,77097
M38-77098,Gildan - Softstyle Ladies Tank Top,Azalea,2XL,Gildan-Softstyle-Ladies-Tank-Top-Azalea,Front Center,Yes,64200L,77098,77098
M38-77099,Gildan - Softstyle Ladies Tank Top,Black,S,Gildan-Softstyle-Ladies-Tank-Top-Black,Front Center,Yes,64200L,77099,77099
M38-77100,Gildan - Softstyle Ladies Tank Top,Black,M,Gildan-Softstyle-Ladies-Tank-Top-Black,Front Center,Yes,64200L,77100,77100
M38-77101,Gildan - Softstyle Ladies Tank Top,Black,L,Gildan-Softstyle-Ladies-Tank-Top-Black,Front Center,Yes,64200L,77101,77101
M38-77102,Gildan - Softstyle Ladies Tank Top,Black,XL,Gildan-Softstyle-Ladies-Tank-Top-Black,Front Center,Yes,64200L,77102,77102
M38-77103,Gildan - Softstyle Ladies Tank Top,Black,2XL,Gildan-Softstyle-Ladies-Tank-Top-Black,Front Center,Yes,64200L,77103,77103
M38-77104,Gildan - Softstyle Ladies Tank Top,Cherry Red,S,Gildan-Softstyle-Ladies-Tank-Top-Cherry-Red,Front Center,Yes,64200L,77104,77104
M38-77105,Gildan - Softstyle Ladies Tank Top,Cherry Red,M,Gildan-Softstyle-Ladies-Tank-Top-Cherry-Red,Front Center,Yes,64200L,77105,77105
M38-77106,Gildan - Softstyle Ladies Tank Top,Cherry Red,L,Gildan-Softstyle-Ladies-Tank-Top-Cherry-Red,Front Center,Yes,64200L,77106,77106
M38-77107,Gildan - Softstyle Ladies Tank Top,Cherry Red,XL,Gildan-Softstyle-Ladies-Tank-Top-Cherry-Red,Front Center,Yes,64200L,77107,77107
M38-77108,Gildan - Softstyle Ladies Tank Top,Cherry Red,2XL,Gildan-Softstyle-Ladies-Tank-Top-Cherry-Red,Front Center,Yes,64200L,77108,77108
M38-77109,Gildan - Softstyle Ladies Tank Top,Navy Blue,S,Gildan-Softstyle-Ladies-Tank-Top-Navy-Blue,Front Center,Yes,64200L,77109,77109
M38-77110,Gildan - Softstyle Ladies Tank Top,Navy Blue,M,Gildan-Softstyle-Ladies-Tank-Top-Navy-Blue,Front Center,Yes,64200L,77110,77110
M38-77111,Gildan - Softstyle Ladies Tank Top,Navy Blue,L,Gildan-Softstyle-Ladies-Tank-Top-Navy-Blue,Front Center,Yes,64200L,77111,77111
M38-77112,Gildan - Softstyle Ladies Tank Top,Navy Blue,XL,Gildan-Softstyle-Ladies-Tank-Top-Navy-Blue,Front Center,Yes,64200L,77112,77112
M38-77113,Gildan - Softstyle Ladies Tank Top,Navy Blue,2XL,Gildan-Softstyle-Ladies-Tank-Top-Navy-Blue,Front Center,Yes,64200L,77113,77113
M38-77114,Gildan - Softstyle Ladies Tank Top,Sport Grey,S,Gildan-Softstyle-Ladies-Tank-Top-Sport-Grey,Front Center,Yes,64200L,77114,77114
M38-77115,Gildan - Softstyle Ladies Tank Top,Sport Grey,M,Gildan-Softstyle-Ladies-Tank-Top-Sport-Grey,Front Center,Yes,64200L,77115,77115
M38-77116,Gildan - Softstyle Ladies Tank Top,Sport Grey,L,Gildan-Softstyle-Ladies-Tank-Top-Sport-Grey,Front Center,Yes,64200L,77116,77116
M38-77117,Gildan - Softstyle Ladies Tank Top,Sport Grey,XL,Gildan-Softstyle-Ladies-Tank-Top-Sport-Grey,Front Center,Yes,64200L,77117,77117
M38-77118,Gildan - Softstyle Ladies Tank Top,Sport Grey,2XL,Gildan-Softstyle-Ladies-Tank-Top-Sport-Grey,Front Center,Yes,64200L,77118,77118
M38-77119,Gildan - Softstyle Ladies Tank Top,White,S,Gildan-Softstyle-Ladies-Tank-Top-White,Front Center,Yes,64200L,77119,77119
M38-77120,Gildan - Softstyle Ladies Tank Top,White,M,Gildan-Softstyle-Ladies-Tank-Top-White,Front Center,Yes,64200L,77120,77120
M38-77121,Gildan - Softstyle Ladies Tank Top,White,L,Gildan-Softstyle-Ladies-Tank-Top-White,Front Center,Yes,64200L,77121,77121
M38-77122,Gildan - Softstyle Ladies Tank Top,White,XL,Gildan-Softstyle-Ladies-Tank-Top-White,Front Center,Yes,64200L,77122,77122
M38-77123,Gildan - Softstyle Ladies Tank Top,White,2XL,Gildan-Softstyle-Ladies-Tank-Top-White,Front Center,Yes,64200L,77123,77123
