UID,Barcode,SPC,Department Code,Department,Sub-department Code,Sub Department,Brand Code,Brand,Style Code,Colour Code,Colour Name,Size Scale,Size,Description,BTC Price,VAT Code,Pack Quantity,Carton Quantity,Last Changed Date,Stock Status,colour_code_url,image_url_medium_res,image_url_low_res,image_url_high_res,brand image,colour image 01,colour image 02,colour image 03,colour image 04,colour image 05,colour image 06,colour image 07,colour image 08,colour image 09,colour image 10,bullet points,Customer Discounted Price
4475,0000000044752,61098,TSHIRT,T-SHIRTS,MNSTSH,"Mens Tank Tops, Vests Etc",FOTL,Fruit Of The Loom,MN0001,36,Black,0012  ,Small,Men's Valueweight Athletic Vest,2.19,1,12,72,02-01-2026 8:43,C,https://myebrochure.co.uk/images/colours/fotl/fotl-36.jpg,https://myebrochure.co.uk/images/products/prod_17301_61098_166563.jpg,https://myebrochure.co.uk/images/products.small/prod_17301_61098_166563.jpg,https://myebrochure.co.uk/images/products.hires/prod_17301_61098_166563.jpg,https://myebrochure.co.uk/images/brands/fotl_23.png,https://myebrochure.co.uk/images/products.hires/prod_61098_141894.jpg,https://myebrochure.co.uk/images/products.hires/prod_61098_141893.jpg,https://myebrochure.co.uk/images/products.hires/prod_61098_141895.jpg,,,,,,,,<li>Self fabric binding to neck and armholes</li> <li>Fine knit gauge for enhanced printability</li> <li><b>Also available in ladies&#39; sizes code 61376</b></li>,1.72
4476,0000000044769,61098,TSHIRT,T-SHIRTS,MNSTSH,"Mens Tank Tops, Vests Etc",FOTL,Fruit Of The Loom,MN0001,36,Black,0012  ,Medium,Men's Valueweight Athletic Vest,2.19,1,12,72,02-01-2026 8:43,C,https://myebrochure.co.uk/images/colours/fotl/fotl-36.jpg,https://myebrochure.co.uk/images/products/prod_17301_61098_166563.jpg,https://myebrochure.co.uk/images/products.small/prod_17301_61098_166563.jpg,https://myebrochure.co.uk/images/products.hires/prod_17301_61098_166563.jpg,https://myebrochure.co.uk/images/brands/fotl_23.png,https://myebrochure.co.uk/images/products.hires/prod_61098_141894.jpg,https://myebrochure.co.uk/images/products.hires/prod_61098_141893.jpg,https://myebrochure.co.uk/images/products.hires/prod_61098_141895.jpg,,,,,,,,<li>Self fabric binding to neck and armholes</li> <li>Fine knit gauge for enhanced printability</li> <li><b>Also available in ladies&#39; sizes code 61376</b></li>,1.72
4477,0000000044776,61098,TSHIRT,T-SHIRTS,MNSTSH,"Mens Tank Tops, Vests Etc",FOTL,Fruit Of The Loom,MN0001,36,Black,0012  ,Large,Men's Valueweight Athletic Vest,2.19,1,12,72,02-01-2026 8:43,C,https://myebrochure.co.uk/images/colours/fotl/fotl-36.jpg,https://myebrochure.co.uk/images/products/prod_17301_61098_166563.jpg,https://myebrochure.co.uk/images/products.small/prod_17301_61098_166563.jpg,https://myebrochure.co.uk/images/products.hires/prod_17301_61098_166563.jpg,https://myebrochure.co.uk/images/brands/fotl_23.png,https://myebrochure.co.uk/images/products.hires/prod_61098_141894.jpg,https://myebrochure.co.uk/images/products.hires/prod_61098_141893.jpg,https://myebrochure.co.uk/images/products.hires/prod_61098_141895.jpg,,,,,,,,<li>Self fabric binding to neck and armholes</li> <li>Fine knit gauge for enhanced printability</li> <li><b>Also available in ladies&#39; sizes code 61376</b></li>,1.72
4478,0000000044783,61098,TSHIRT,T-SHIRTS,MNSTSH,"Mens Tank Tops, Vests Etc",FOTL,Fruit Of The Loom,MN0001,36,Black,0012  ,XL,Men's Valueweight Athletic Vest,2.19,1,12,72,02-01-2026 8:43,C,https://myebrochure.co.uk/images/colours/fotl/fotl-36.jpg,https://myebrochure.co.uk/images/products/prod_17301_61098_166563.jpg,https://myebrochure.co.uk/images/products.small/prod_17301_61098_166563.jpg,https://myebrochure.co.uk/images/products.hires/prod_17301_61098_166563.jpg,https://myebrochure.co.uk/images/brands/fotl_23.png,https://myebrochure.co.uk/images/products.hires/prod_61098_141894.jpg,https://myebrochure.co.uk/images/products.hires/prod_61098_141893.jpg,https://myebrochure.co.uk/images/products.hires/prod_61098_141895.jpg,,,,,,,,<li>Self fabric binding to neck and armholes</li> <li>Fine knit gauge for enhanced printability</li> <li><b>Also available in ladies&#39; sizes code 61376</b></li>,1.72
4479,0000000044790,61098,TSHIRT,T-SHIRTS,MNSTSH,"Mens Tank Tops, Vests Etc",FOTL,Fruit Of The Loom,MN0001,36,Black,0012  ,2XL,Men's Valueweight Athletic Vest,2.19,1,12,72,02-01-2026 8:43,C,https://myebrochure.co.uk/images/colours/fotl/fotl-36.jpg,https://myebrochure.co.uk/images/products/prod_17301_61098_166563.jpg,https://myebrochure.co.uk/images/products.small/prod_17301_61098_166563.jpg,https://myebrochure.co.uk/images/products.hires/prod_17301_61098_166563.jpg,https://myebrochure.co.uk/images/brands/fotl_23.png,https://myebrochure.co.uk/images/products.hires/prod_61098_141894.jpg,https://myebrochure.co.uk/images/products.hires/prod_61098_141893.jpg,https://myebrochure.co.uk/images/products.hires/prod_61098_141895.jpg,,,,,,,,<li>Self fabric binding to neck and armholes</li> <li>Fine knit gauge for enhanced printability</li> <li><b>Also available in ladies&#39; sizes code 61376</b></li>,1.72
158250,0000001581553,61098,TSHIRT,T-SHIRTS,MNSTSH,"Mens Tank Tops, Vests Etc",FOTL,Fruit Of The Loom,MN0001,36,Black,0012  ,3XL,Men's Valueweight Athletic Vest,2.69,1,12,36,02-01-2026 8:43,C,https://myebrochure.co.uk/images/colours/fotl/fotl-36.jpg,https://myebrochure.co.uk/images/products/prod_17301_61098_166563.jpg,https://myebrochure.co.uk/images/products.small/prod_17301_61098_166563.jpg,https://myebrochure.co.uk/images/products.hires/prod_17301_61098_166563.jpg,https://myebrochure.co.uk/images/brands/fotl_23.png,https://myebrochure.co.uk/images/products.hires/prod_61098_141894.jpg,https://myebrochure.co.uk/images/products.hires/prod_61098_141893.jpg,https://myebrochure.co.uk/images/products.hires/prod_61098_141895.jpg,,,,,,,,<li>Self fabric binding to neck and armholes</li> <li>Fine knit gauge for enhanced printability</li> <li><b>Also available in ladies&#39; sizes code 61376</b></li>,2.11
158251,0000001581560,61098,TSHIRT,T-SHIRTS,MNSTSH,"Mens Tank Tops, Vests Etc",FOTL,Fruit Of The Loom,MN0001,36,Black,0012  ,4XL,Men's Valueweight Athletic Vest,2.69,1,12,36,02-01-2026 8:43,C,https://myebrochure.co.uk/images/colours/fotl/fotl-36.jpg,https://myebrochure.co.uk/images/products/prod_17301_61098_166563.jpg,https://myebrochure.co.uk/images/products.small/prod_17301_61098_166563.jpg,https://myebrochure.co.uk/images/products.hires/prod_17301_61098_166563.jpg,https://myebrochure.co.uk/images/brands/fotl_23.png,https://myebrochure.co.uk/images/products.hires/prod_61098_141894.jpg,https://myebrochure.co.uk/images/products.hires/prod_61098_141893.jpg,https://myebrochure.co.uk/images/products.hires/prod_61098_141895.jpg,,,,,,,,<li>Self fabric binding to neck and armholes</li> <li>Fine knit gauge for enhanced printability</li> <li><b>Also available in ladies&#39; sizes code 61376</b></li>,2.11
158252,0000001581577,61098,TSHIRT,T-SHIRTS,MNSTSH,"Mens Tank Tops, Vests Etc",FOTL,Fruit Of The Loom,MN0001,36,Black,0012  ,5XL,Men's Valueweight Athletic Vest,2.69,1,12,36,02-01-2026 8:43,C,https://myebrochure.co.uk/images/colours/fotl/fotl-36.jpg,https://myebrochure.co.uk/images/products/prod_17301_61098_166563.jpg,https://myebrochure.co.uk/images/products.small/prod_17301_61098_166563.jpg,https://myebrochure.co.uk/images/products.hires/prod_17301_61098_166563.jpg,https://myebrochure.co.uk/images/brands/fotl_23.png,https://myebrochure.co.uk/images/products.hires/prod_61098_141894.jpg,https://myebrochure.co.uk/images/products.hires/prod_61098_141893.jpg,https://myebrochure.co.uk/images/products.hires/prod_61098_141895.jpg,,,,,,,,<li>Self fabric binding to neck and armholes</li> <li>Fine knit gauge for enhanced printability</li> <li><b>Also available in ladies&#39; sizes code 61376</b></li>,2.11
55459,0000000554473,61098,TSHIRT,T-SHIRTS,MNSTSH,"Mens Tank Tops, Vests Etc",FOTL,Fruit Of The Loom,MN0001,AZ,Deep Navy,0012  ,Small,Men's Valueweight Athletic Vest,2.19,1,12,72,02-01-2026 8:43,C,https://myebrochure.co.uk/images/colours/fotl/fotl-az.jpg,https://myebrochure.co.uk/images/products/prod_17301_61098_166563.jpg,https://myebrochure.co.uk/images/products.small/prod_17301_61098_166563.jpg,https://myebrochure.co.uk/images/products.hires/prod_17301_61098_166563.jpg,https://myebrochure.co.uk/images/brands/fotl_23.png,https://myebrochure.co.uk/images/products.hires/prod_61098_141906.jpg,https://myebrochure.co.uk/images/products.hires/prod_61098_141905.jpg,https://myebrochure.co.uk/images/products.hires/prod_61098_141907.jpg,,,,,,,,<li>Self fabric binding to neck and armholes</li> <li>Fine knit gauge for enhanced printability</li> <li><b>Also available in ladies&#39; sizes code 61376</b></li>,1.72
55460,0000000554480,61098,TSHIRT,T-SHIRTS,MNSTSH,"Mens Tank Tops, Vests Etc",FOTL,Fruit Of The Loom,MN0001,AZ,Deep Navy,0012  ,Medium,Men's Valueweight Athletic Vest,2.19,1,12,72,02-01-2026 8:43,C,https://myebrochure.co.uk/images/colours/fotl/fotl-az.jpg,https://myebrochure.co.uk/images/products/prod_17301_61098_166563.jpg,https://myebrochure.co.uk/images/products.small/prod_17301_61098_166563.jpg,https://myebrochure.co.uk/images/products.hires/prod_17301_61098_166563.jpg,https://myebrochure.co.uk/images/brands/fotl_23.png,https://myebrochure.co.uk/images/products.hires/prod_61098_141906.jpg,https://myebrochure.co.uk/images/products.hires/prod_61098_141905.jpg,https://myebrochure.co.uk/images/products.hires/prod_61098_141907.jpg,,,,,,,,<li>Self fabric binding to neck and armholes</li> <li>Fine knit gauge for enhanced printability</li> <li><b>Also available in ladies&#39; sizes code 61376</b></li>,1.72
