UID,Barcode,SPC,Department Code,Department,Sub-department Code,Sub Department,Brand Code,Brand,Style Code,Colour Code,Colour Name,Size Scale,Size,Description,BTC Price,VAT Code,Pack Quantity,Carton Quantity,Last Changed Date,Stock Status,colour_code_url,image_url_medium_res,image_url_low_res,image_url_high_res,brand image,colour image 01,colour image 02,colour image 03,colour image 04,colour image 05,colour image 06,colour image 07,colour image 08,colour image 09,colour image 10,bullet points,Commodity Code,Origin
92060,0000000920193,61372,TSHIRT,T-SHIRTS,LSSTSH,Ladies Short Sleeve T-Shirts,FOTL,Fruit Of The Loom,BA0032,ZU,Azure Blue,0008  ,2XL,Ladies' Valueweight T,2.23,1,12,72,08/04/2026 09:01:09,C,https://myebrochure.co.uk/images/colours/fotl/fotl-zu.jpg,https://myebrochure.co.uk/images/products/prod_13601_61372_166586.jpg,https://myebrochure.co.uk/images/products.small/prod_13601_61372_166586.jpg,https://myebrochure.co.uk/images/products.hires/prod_13601_61372_166586.jpg,https://myebrochure.co.uk/images/brands/fotl_23.png,https://myebrochure.co.uk/images/products.hires/prod_61372_142026.jpg,https://myebrochure.co.uk/images/products.hires/prod_61372_142025.jpg,https://myebrochure.co.uk/images/products.hires/prod_61372_142027.jpg,,,,,,,,<li>Crew neck with Cotton/ LYCRA&reg; rib</li> <li>Self&#45;fabric back neck tape</li> <li>Shaped side seams for a feminine fit</li> <li>Fine knit gauge for enhanced printability</li> <li><b>Also available in men&#39;s sizes code 61036 and  children&#39;s sizes code 61033 and code 61005</b></li>,61091000,MA
91994,0000000919531,61372,TSHIRT,T-SHIRTS,LSSTSH,Ladies Short Sleeve T-Shirts,FOTL,Fruit Of The Loom,BA0032,36,Black,0008  ,2XL,Ladies' Valueweight T,2.23,1,12,72,08/04/2026 09:01:09,C,https://myebrochure.co.uk/images/colours/fotl/fotl-36.jpg,https://myebrochure.co.uk/images/products/prod_13601_61372_166586.jpg,https://myebrochure.co.uk/images/products.small/prod_13601_61372_166586.jpg,https://myebrochure.co.uk/images/products.hires/prod_13601_61372_166586.jpg,https://myebrochure.co.uk/images/brands/fotl_23.png,https://myebrochure.co.uk/images/products.hires/prod_61372_141954.jpg,https://myebrochure.co.uk/images/products.hires/prod_61372_141953.jpg,https://myebrochure.co.uk/images/products.hires/prod_61372_141955.jpg,https://myebrochure.co.uk/images/products.hires/prod_13601_61372_166587.jpg,,,,,,,<li>Crew neck with Cotton/ LYCRA&reg; rib</li> <li>Self&#45;fabric back neck tape</li> <li>Shaped side seams for a feminine fit</li> <li>Fine knit gauge for enhanced printability</li> <li><b>Also available in men&#39;s sizes code 61036 and  children&#39;s sizes code 61033 and code 61005</b></li>,61091000,MA
95292,0000000952477,61372,TSHIRT,T-SHIRTS,LSSTSH,Ladies Short Sleeve T-Shirts,FOTL,Fruit Of The Loom,BA0032,BGR,Bottle Green,0008  ,2XL,Ladies' Valueweight T,2.23,1,12,72,08/04/2026 09:01:09,C,https://myebrochure.co.uk/images/colours/fotl/fotl-bgr.jpg,https://myebrochure.co.uk/images/products/prod_13601_61372_166586.jpg,https://myebrochure.co.uk/images/products.small/prod_13601_61372_166586.jpg,https://myebrochure.co.uk/images/products.hires/prod_13601_61372_166586.jpg,https://myebrochure.co.uk/images/brands/fotl_23.png,https://myebrochure.co.uk/images/products.hires/prod_61372_141957.jpg,https://myebrochure.co.uk/images/products.hires/prod_61372_141956.jpg,https://myebrochure.co.uk/images/products.hires/prod_61372_141958.jpg,https://myebrochure.co.uk/images/products.hires/prod_13601_61372_166588.jpg,,,,,,,<li>Crew neck with Cotton/ LYCRA&reg; rib</li> <li>Self&#45;fabric back neck tape</li> <li>Shaped side seams for a feminine fit</li> <li>Fine knit gauge for enhanced printability</li> <li><b>Also available in men&#39;s sizes code 61036 and  children&#39;s sizes code 61033 and code 61005</b></li>,61091000,MA
137992,0000001378993,61372,TSHIRT,T-SHIRTS,LSSTSH,Ladies Short Sleeve T-Shirts,FOTL,Fruit Of The Loom,BA0032,41,Burgundy,0008  ,2XL,Ladies' Valueweight T,2.23,1,12,72,08/04/2026 09:01:09,C,https://myebrochure.co.uk/images/colours/fotl/fotl-41.jpg,https://myebrochure.co.uk/images/products/prod_13601_61372_166586.jpg,https://myebrochure.co.uk/images/products.small/prod_13601_61372_166586.jpg,https://myebrochure.co.uk/images/products.hires/prod_13601_61372_166586.jpg,https://myebrochure.co.uk/images/brands/fotl_23.png,https://myebrochure.co.uk/images/products.hires/prod_61372_141963.jpg,https://myebrochure.co.uk/images/products.hires/prod_61372_141962.jpg,https://myebrochure.co.uk/images/products.hires/prod_61372_141964.jpg,https://myebrochure.co.uk/images/products.hires/prod_13601_61372_166590.jpg,,,,,,,<li>Crew neck with Cotton/ LYCRA&reg; rib</li> <li>Self&#45;fabric back neck tape</li> <li>Shaped side seams for a feminine fit</li> <li>Fine knit gauge for enhanced printability</li> <li><b>Also available in men&#39;s sizes code 61036 and  children&#39;s sizes code 61033 and code 61005</b></li>,61091000,MA
158526,0000001584318,61372,TSHIRT,T-SHIRTS,LSSTSH,Ladies Short Sleeve T-Shirts,FOTL,Fruit Of The Loom,BA0032,HD,Dark Heather,0008  ,2XL,Ladies' Valueweight T,2.23,1,12,72,08/04/2026 09:01:09,C,https://myebrochure.co.uk/images/colours/fotl/fotl-hd.jpg,https://myebrochure.co.uk/images/products/prod_13601_61372_166586.jpg,https://myebrochure.co.uk/images/products.small/prod_13601_61372_166586.jpg,https://myebrochure.co.uk/images/products.hires/prod_13601_61372_166586.jpg,https://myebrochure.co.uk/images/brands/fotl_23.png,https://myebrochure.co.uk/images/products.hires/prod_61372_142029.jpg,https://myebrochure.co.uk/images/products.hires/prod_61372_142028.jpg,https://myebrochure.co.uk/images/products.hires/prod_61372_142030.jpg,,,,,,,,<li>Crew neck with Cotton/ LYCRA&reg; rib</li> <li>Self&#45;fabric back neck tape</li> <li>Shaped side seams for a feminine fit</li> <li>Fine knit gauge for enhanced printability</li> <li><b>Also available in men&#39;s sizes code 61036 and  children&#39;s sizes code 61033 and code 61005</b></li>,61091000,MA
92054,0000000920131,61372,TSHIRT,T-SHIRTS,LSSTSH,Ladies Short Sleeve T-Shirts,FOTL,Fruit Of The Loom,BA0032,AZ,Deep Navy,0008  ,2XL,Ladies' Valueweight T,2.23,1,12,72,08/04/2026 09:01:09,C,https://myebrochure.co.uk/images/colours/fotl/fotl-az.jpg,https://myebrochure.co.uk/images/products/prod_13601_61372_166586.jpg,https://myebrochure.co.uk/images/products.small/prod_13601_61372_166586.jpg,https://myebrochure.co.uk/images/products.hires/prod_13601_61372_166586.jpg,https://myebrochure.co.uk/images/brands/fotl_23.png,https://myebrochure.co.uk/images/products.hires/prod_61372_141984.jpg,https://myebrochure.co.uk/images/products.hires/prod_61372_141983.jpg,https://myebrochure.co.uk/images/products.hires/prod_61372_141985.jpg,,,,,,,,<li>Crew neck with Cotton/ LYCRA&reg; rib</li> <li>Self&#45;fabric back neck tape</li> <li>Shaped side seams for a feminine fit</li> <li>Fine knit gauge for enhanced printability</li> <li><b>Also available in men&#39;s sizes code 61036 and  children&#39;s sizes code 61033 and code 61005</b></li>,61091000,MA
92036,0000000919951,61372,TSHIRT,T-SHIRTS,LSSTSH,Ladies Short Sleeve T-Shirts,FOTL,Fruit Of The Loom,BA0032,57,Fuchsia,0008  ,2XL,Ladies' Valueweight T,2.23,1,12,72,08/04/2026 09:01:09,C,https://myebrochure.co.uk/images/colours/fotl/fotl-57.jpg,https://myebrochure.co.uk/images/products/prod_13601_61372_166586.jpg,https://myebrochure.co.uk/images/products.small/prod_13601_61372_166586.jpg,https://myebrochure.co.uk/images/products.hires/prod_13601_61372_166586.jpg,https://myebrochure.co.uk/images/brands/fotl_23.png,https://myebrochure.co.uk/images/products.hires/prod_61372_141978.jpg,https://myebrochure.co.uk/images/products.hires/prod_61372_141977.jpg,https://myebrochure.co.uk/images/products.hires/prod_61372_141979.jpg,https://myebrochure.co.uk/images/products.hires/prod_13601_61372_166595.jpg,,,,,,,<li>Crew neck with Cotton/ LYCRA&reg; rib</li> <li>Self&#45;fabric back neck tape</li> <li>Shaped side seams for a feminine fit</li> <li>Fine knit gauge for enhanced printability</li> <li><b>Also available in men&#39;s sizes code 61036 and  children&#39;s sizes code 61033 and code 61005</b></li>,61091000,MA
92048,0000000920070,61372,TSHIRT,T-SHIRTS,LSSTSH,Ladies Short Sleeve T-Shirts,FOTL,Fruit Of The Loom,BA0032,94,Heather Grey,0008  ,2XL,Ladies' Valueweight T,2.23,1,12,72,08/04/2026 09:01:09,C,https://myebrochure.co.uk/images/colours/fotl/fotl-94.jpg,https://myebrochure.co.uk/images/products/prod_13601_61372_166586.jpg,https://myebrochure.co.uk/images/products.small/prod_13601_61372_166586.jpg,https://myebrochure.co.uk/images/products.hires/prod_13601_61372_166586.jpg,https://myebrochure.co.uk/images/brands/fotl_23.png,https://myebrochure.co.uk/images/products.hires/prod_61372_141981.jpg,https://myebrochure.co.uk/images/products.hires/prod_61372_141980.jpg,https://myebrochure.co.uk/images/products.hires/prod_61372_141982.jpg,https://myebrochure.co.uk/images/products.hires/prod_13601_61372_166596.jpg,,,,,,,<li>Crew neck with Cotton/ LYCRA&reg; rib</li> <li>Self&#45;fabric back neck tape</li> <li>Shaped side seams for a feminine fit</li> <li>Fine knit gauge for enhanced printability</li> <li><b>Also available in men&#39;s sizes code 61036 and  children&#39;s sizes code 61033 and code 61005</b></li>,61091000,MA
171882,0000001717907,61372,TSHIRT,T-SHIRTS,LSSTSH,Ladies Short Sleeve T-Shirts,FOTL,Fruit Of The Loom,BA0032,HP,Heather Purple,0008  ,2XL,Ladies' Valueweight T,2.23,1,12,72,08/04/2026 09:01:09,C,https://myebrochure.co.uk/images/colours/fotl/fotl-hp.jpg,https://myebrochure.co.uk/images/products/prod_13601_61372_166586.jpg,https://myebrochure.co.uk/images/products.small/prod_13601_61372_166586.jpg,https://myebrochure.co.uk/images/products.hires/prod_13601_61372_166586.jpg,https://myebrochure.co.uk/images/brands/fotl_23.png,https://myebrochure.co.uk/images/products.hires/prod_61372_141993.jpg,https://myebrochure.co.uk/images/products.hires/prod_61372_141992.jpg,https://myebrochure.co.uk/images/products.hires/prod_61372_141994.jpg,,,,,,,,<li>Crew neck with Cotton/ LYCRA&reg; rib</li> <li>Self&#45;fabric back neck tape</li> <li>Shaped side seams for a feminine fit</li> <li>Fine knit gauge for enhanced printability</li> <li><b>Also available in men&#39;s sizes code 61036 and  children&#39;s sizes code 61033 and code 61005</b></li>,61091000,MA
92018,0000000919777,61372,TSHIRT,T-SHIRTS,LSSTSH,Ladies Short Sleeve T-Shirts,FOTL,Fruit Of The Loom,BA0032,47,Kelly Green,0008  ,2XL,Ladies' Valueweight T,2.23,1,12,72,08/04/2026 09:01:09,C,https://myebrochure.co.uk/images/colours/fotl/fotl-47.jpg,https://myebrochure.co.uk/images/products/prod_13601_61372_166586.jpg,https://myebrochure.co.uk/images/products.small/prod_13601_61372_166586.jpg,https://myebrochure.co.uk/images/products.hires/prod_13601_61372_166586.jpg,https://myebrochure.co.uk/images/brands/fotl_23.png,https://myebrochure.co.uk/images/products.hires/prod_61372_141969.jpg,https://myebrochure.co.uk/images/products.hires/prod_61372_141968.jpg,https://myebrochure.co.uk/images/products.hires/prod_61372_141970.jpg,https://myebrochure.co.uk/images/products.hires/prod_13601_61372_166592.jpg,,,,,,,<li>Crew neck with Cotton/ LYCRA&reg; rib</li> <li>Self&#45;fabric back neck tape</li> <li>Shaped side seams for a feminine fit</li> <li>Fine knit gauge for enhanced printability</li> <li><b>Also available in men&#39;s sizes code 61036 and  children&#39;s sizes code 61033 and code 61005</b></li>,61091000,MA
