UID,Barcode,SPC,Department Code,Department,Sub-department Code,Sub Department,Brand Code,Brand,Style Code,Colour Code,Colour Name,Size Scale,Size,Description,BTC Price,VAT Code,Pack Quantity,Carton Quantity,Last Changed Date,Stock Status,colour_code_url,image_url_medium_res,image_url_low_res,image_url_high_res,brand image,colour image 01,colour image 02,colour image 03,colour image 04,colour image 05,colour image 06,colour image 07,colour image 08,colour image 09,colour image 10,bullet points,Customer Discounted Price
138216,0000001381238,61019,TSHIRT,T-SHIRTS,CHITSH,Childrens T-Shirt,FOTL,Fruit Of The Loom,CH0059,30,White,0030  ,3-4 Years,Kid's Original T,1.29,2,12,72,02-01-2026 8:38,C,https://myebrochure.co.uk/images/colours/fotl/fotl-30.jpg,https://myebrochure.co.uk/images/products/prod_10801_61019_166519.jpg,https://myebrochure.co.uk/images/products.small/prod_10801_61019_166519.jpg,https://myebrochure.co.uk/images/products.hires/prod_10801_61019_166519.jpg,https://myebrochure.co.uk/images/brands/fotl_23.png,https://myebrochure.co.uk/images/products.hires/prod_61019_141496.jpg,https://myebrochure.co.uk/images/products.hires/prod_61019_141495.jpg,https://myebrochure.co.uk/images/products.hires/prod_61019_141497.jpg,,,,,,,,"<li>Rib crew neck with self-fabric back neck tape</li> <li>Produced using Belcoro&reg; yarn for a cleaner, more stable print area</li> <li>Fine knit gauge for enhanced printability</li> <li><b>Also available in men&#39;s sizes code 61082 and ladies&#39; size code 61420</b></li>",1.01
138217,0000001381245,61019,TSHIRT,T-SHIRTS,CHITSH,Childrens T-Shirt,FOTL,Fruit Of The Loom,CH0059,30,White,0030  ,5-6 Years,Kid's Original T,1.29,2,12,72,02-01-2026 8:38,C,https://myebrochure.co.uk/images/colours/fotl/fotl-30.jpg,https://myebrochure.co.uk/images/products/prod_10801_61019_166519.jpg,https://myebrochure.co.uk/images/products.small/prod_10801_61019_166519.jpg,https://myebrochure.co.uk/images/products.hires/prod_10801_61019_166519.jpg,https://myebrochure.co.uk/images/brands/fotl_23.png,https://myebrochure.co.uk/images/products.hires/prod_61019_141496.jpg,https://myebrochure.co.uk/images/products.hires/prod_61019_141495.jpg,https://myebrochure.co.uk/images/products.hires/prod_61019_141497.jpg,,,,,,,,"<li>Rib crew neck with self-fabric back neck tape</li> <li>Produced using Belcoro&reg; yarn for a cleaner, more stable print area</li> <li>Fine knit gauge for enhanced printability</li> <li><b>Also available in men&#39;s sizes code 61082 and ladies&#39; size code 61420</b></li>",1.01
138218,0000001381252,61019,TSHIRT,T-SHIRTS,CHITSH,Childrens T-Shirt,FOTL,Fruit Of The Loom,CH0059,30,White,0030  ,7-8 Years,Kid's Original T,1.29,2,12,72,02-01-2026 8:38,C,https://myebrochure.co.uk/images/colours/fotl/fotl-30.jpg,https://myebrochure.co.uk/images/products/prod_10801_61019_166519.jpg,https://myebrochure.co.uk/images/products.small/prod_10801_61019_166519.jpg,https://myebrochure.co.uk/images/products.hires/prod_10801_61019_166519.jpg,https://myebrochure.co.uk/images/brands/fotl_23.png,https://myebrochure.co.uk/images/products.hires/prod_61019_141496.jpg,https://myebrochure.co.uk/images/products.hires/prod_61019_141495.jpg,https://myebrochure.co.uk/images/products.hires/prod_61019_141497.jpg,,,,,,,,"<li>Rib crew neck with self-fabric back neck tape</li> <li>Produced using Belcoro&reg; yarn for a cleaner, more stable print area</li> <li>Fine knit gauge for enhanced printability</li> <li><b>Also available in men&#39;s sizes code 61082 and ladies&#39; size code 61420</b></li>",1.01
138219,0000001381269,61019,TSHIRT,T-SHIRTS,CHITSH,Childrens T-Shirt,FOTL,Fruit Of The Loom,CH0059,30,White,0030  ,9-11 Years,Kid's Original T,1.29,2,12,72,02-01-2026 8:38,C,https://myebrochure.co.uk/images/colours/fotl/fotl-30.jpg,https://myebrochure.co.uk/images/products/prod_10801_61019_166519.jpg,https://myebrochure.co.uk/images/products.small/prod_10801_61019_166519.jpg,https://myebrochure.co.uk/images/products.hires/prod_10801_61019_166519.jpg,https://myebrochure.co.uk/images/brands/fotl_23.png,https://myebrochure.co.uk/images/products.hires/prod_61019_141496.jpg,https://myebrochure.co.uk/images/products.hires/prod_61019_141495.jpg,https://myebrochure.co.uk/images/products.hires/prod_61019_141497.jpg,,,,,,,,"<li>Rib crew neck with self-fabric back neck tape</li> <li>Produced using Belcoro&reg; yarn for a cleaner, more stable print area</li> <li>Fine knit gauge for enhanced printability</li> <li><b>Also available in men&#39;s sizes code 61082 and ladies&#39; size code 61420</b></li>",1.01
138220,0000001381276,61019,TSHIRT,T-SHIRTS,CHITSH,Childrens T-Shirt,FOTL,Fruit Of The Loom,CH0059,30,White,0030  ,12-13 Years,Kid's Original T,1.29,2,12,72,02-01-2026 8:38,C,https://myebrochure.co.uk/images/colours/fotl/fotl-30.jpg,https://myebrochure.co.uk/images/products/prod_10801_61019_166519.jpg,https://myebrochure.co.uk/images/products.small/prod_10801_61019_166519.jpg,https://myebrochure.co.uk/images/products.hires/prod_10801_61019_166519.jpg,https://myebrochure.co.uk/images/brands/fotl_23.png,https://myebrochure.co.uk/images/products.hires/prod_61019_141496.jpg,https://myebrochure.co.uk/images/products.hires/prod_61019_141495.jpg,https://myebrochure.co.uk/images/products.hires/prod_61019_141497.jpg,,,,,,,,"<li>Rib crew neck with self-fabric back neck tape</li> <li>Produced using Belcoro&reg; yarn for a cleaner, more stable print area</li> <li>Fine knit gauge for enhanced printability</li> <li><b>Also available in men&#39;s sizes code 61082 and ladies&#39; size code 61420</b></li>",1.01
138221,0000001381283,61019,TSHIRT,T-SHIRTS,CHITSH,Childrens T-Shirt,FOTL,Fruit Of The Loom,CH0059,30,White,0030  ,14-15 Years,Kid's Original T,1.29,1,12,72,02-01-2026 8:38,C,https://myebrochure.co.uk/images/colours/fotl/fotl-30.jpg,https://myebrochure.co.uk/images/products/prod_10801_61019_166519.jpg,https://myebrochure.co.uk/images/products.small/prod_10801_61019_166519.jpg,https://myebrochure.co.uk/images/products.hires/prod_10801_61019_166519.jpg,https://myebrochure.co.uk/images/brands/fotl_23.png,https://myebrochure.co.uk/images/products.hires/prod_61019_141496.jpg,https://myebrochure.co.uk/images/products.hires/prod_61019_141495.jpg,https://myebrochure.co.uk/images/products.hires/prod_61019_141497.jpg,,,,,,,,"<li>Rib crew neck with self-fabric back neck tape</li> <li>Produced using Belcoro&reg; yarn for a cleaner, more stable print area</li> <li>Fine knit gauge for enhanced printability</li> <li><b>Also available in men&#39;s sizes code 61082 and ladies&#39; size code 61420</b></li>",1.01
138222,0000001381290,61019,TSHIRT,T-SHIRTS,CHITSH,Childrens T-Shirt,FOTL,Fruit Of The Loom,CH0059,32,Navy Blue,0030  ,3-4 Years,Kid's Original T,1.7,2,12,72,02-01-2026 8:38,C,https://myebrochure.co.uk/images/colours/fotl/fotl-32.jpg,https://myebrochure.co.uk/images/products/prod_10801_61019_166519.jpg,https://myebrochure.co.uk/images/products.small/prod_10801_61019_166519.jpg,https://myebrochure.co.uk/images/products.hires/prod_10801_61019_166519.jpg,https://myebrochure.co.uk/images/brands/fotl_23.png,https://myebrochure.co.uk/images/products.hires/prod_61019_141499.jpg,https://myebrochure.co.uk/images/products.hires/prod_61019_141498.jpg,https://myebrochure.co.uk/images/products.hires/prod_61019_141500.jpg,,,,,,,,"<li>Rib crew neck with self-fabric back neck tape</li> <li>Produced using Belcoro&reg; yarn for a cleaner, more stable print area</li> <li>Fine knit gauge for enhanced printability</li> <li><b>Also available in men&#39;s sizes code 61082 and ladies&#39; size code 61420</b></li>",1.33
138223,0000001381306,61019,TSHIRT,T-SHIRTS,CHITSH,Childrens T-Shirt,FOTL,Fruit Of The Loom,CH0059,32,Navy Blue,0030  ,5-6 Years,Kid's Original T,1.7,2,12,72,02-01-2026 8:38,C,https://myebrochure.co.uk/images/colours/fotl/fotl-32.jpg,https://myebrochure.co.uk/images/products/prod_10801_61019_166519.jpg,https://myebrochure.co.uk/images/products.small/prod_10801_61019_166519.jpg,https://myebrochure.co.uk/images/products.hires/prod_10801_61019_166519.jpg,https://myebrochure.co.uk/images/brands/fotl_23.png,https://myebrochure.co.uk/images/products.hires/prod_61019_141499.jpg,https://myebrochure.co.uk/images/products.hires/prod_61019_141498.jpg,https://myebrochure.co.uk/images/products.hires/prod_61019_141500.jpg,,,,,,,,"<li>Rib crew neck with self-fabric back neck tape</li> <li>Produced using Belcoro&reg; yarn for a cleaner, more stable print area</li> <li>Fine knit gauge for enhanced printability</li> <li><b>Also available in men&#39;s sizes code 61082 and ladies&#39; size code 61420</b></li>",1.33
138224,0000001381313,61019,TSHIRT,T-SHIRTS,CHITSH,Childrens T-Shirt,FOTL,Fruit Of The Loom,CH0059,32,Navy Blue,0030  ,7-8 Years,Kid's Original T,1.7,2,12,72,02-01-2026 8:38,C,https://myebrochure.co.uk/images/colours/fotl/fotl-32.jpg,https://myebrochure.co.uk/images/products/prod_10801_61019_166519.jpg,https://myebrochure.co.uk/images/products.small/prod_10801_61019_166519.jpg,https://myebrochure.co.uk/images/products.hires/prod_10801_61019_166519.jpg,https://myebrochure.co.uk/images/brands/fotl_23.png,https://myebrochure.co.uk/images/products.hires/prod_61019_141499.jpg,https://myebrochure.co.uk/images/products.hires/prod_61019_141498.jpg,https://myebrochure.co.uk/images/products.hires/prod_61019_141500.jpg,,,,,,,,"<li>Rib crew neck with self-fabric back neck tape</li> <li>Produced using Belcoro&reg; yarn for a cleaner, more stable print area</li> <li>Fine knit gauge for enhanced printability</li> <li><b>Also available in men&#39;s sizes code 61082 and ladies&#39; size code 61420</b></li>",1.33
138225,0000001381320,61019,TSHIRT,T-SHIRTS,CHITSH,Childrens T-Shirt,FOTL,Fruit Of The Loom,CH0059,32,Navy Blue,0030  ,9-11 Years,Kid's Original T,1.7,2,12,72,02-01-2026 8:38,C,https://myebrochure.co.uk/images/colours/fotl/fotl-32.jpg,https://myebrochure.co.uk/images/products/prod_10801_61019_166519.jpg,https://myebrochure.co.uk/images/products.small/prod_10801_61019_166519.jpg,https://myebrochure.co.uk/images/products.hires/prod_10801_61019_166519.jpg,https://myebrochure.co.uk/images/brands/fotl_23.png,https://myebrochure.co.uk/images/products.hires/prod_61019_141499.jpg,https://myebrochure.co.uk/images/products.hires/prod_61019_141498.jpg,https://myebrochure.co.uk/images/products.hires/prod_61019_141500.jpg,,,,,,,,"<li>Rib crew neck with self-fabric back neck tape</li> <li>Produced using Belcoro&reg; yarn for a cleaner, more stable print area</li> <li>Fine knit gauge for enhanced printability</li> <li><b>Also available in men&#39;s sizes code 61082 and ladies&#39; size code 61420</b></li>",1.33
